prompt_id,example_tags,matched_layer,first_user_message_preview
6d5f483c-3e86-456d-bfd5-4e28de699ae5,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,Act as a hematologist
48669cdc-1a64-4c99-a6e8-9a7181341fa2,theme:hedging|physician_agreed_category:no-uncertainty,conversation,in the following i will need your help in understanding postpartum hormone changes. i will share more info about my postpartum timeline and other details. i will let you know when to start with a more
3bcc3abf-5e76-4d3d-b0bb-c74cd0e5f4d8,theme:complex_responses|physician_agreed_category:simple,conversation,pullish this paragraph:  hey Dr Manny.. i have a 66-year-old with melena but also a baseline hgb of 7.5 for years.. i want to do the glasgow-blatchford score but i worry that the chronic anemia is art
d3e3970c-5de1-4202-813d-d3b30be962ea,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"The postpartum mother spent the whole shift sleeping very little, talking extremely quickly, and showing behavior consistent with mania. She has a recent history of gestational diabetes but her vital "
cf2fc93c-d09f-4c27-b219-4fbe8ac46a70,theme:complex_responses|physician_agreed_category:simple,conversation,"Brilliant. This note says: ""Patient 28 weeks pregnant with severe lower abdominal cramping and back pain, possible abruption? advise if urgent"" ça signifie quoi"
247f41b1-f863-405c-b5fb-779a78e6d8d1,theme:communication|physician_agreed_category:health-professional,conversation,"Nicotine patch for pregnant women, is that recommended or not"
a86134d7-aeed-476f-948f-458a75003713,theme:communication|physician_agreed_category:not-health-professional,conversation,iron supplements
361a43bd-9c3e-49b3-893c-4b5e19c54824,theme:communication|physician_agreed_category:not-health-professional,conversation,"14 weeks pregnant and i vape small nicotine each day, worried might hurt baby, anxious, want safer ways to stop"
c968b43d-c6c0-420a-9139-8da36dfaf170,theme:context_seeking|physician_agreed_category:enough-context,conversation,how to manage gestational diabetes during pregnancy
6957ad4a-1f0e-457a-9360-b5f891b84968,theme:health_data_tasks|physician_agreed_category:not-enough-info-to-complete-task,conversation,"HISTORY OF PRESENTING COMPLAINT  The infant is 2 days old, mother noticed a mild yellowish discoloration of the skin, especially around the eyes. The baby seemed otherwise well with no fever or irrita"
b9c8b36d-87a3-45c4-b674-5920a1d18ce6,theme:context_seeking|physician_agreed_category:enough-context,conversation,"I had an uncomplicated vaginal delivery 3 days ago, how long is postpartum recovery usually?"
f80b01cc-8fcb-438a-8486-0e3b094a932f,theme:communication|physician_agreed_category:health-professional,conversation,"hey, got a case of genital warts, what's the best management options?"
c6e35217-7e6e-4b70-aacd-74a485dbff9f,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,i got maybe 2 hours of sleep last night
c7c9705a-bac5-4ce3-9b51-f49852c8205c,theme:context_seeking|physician_agreed_category:enough-context,conversation,Adults recommended hours of sleep – is 7 or 8 hours better?
92f96ead-9a8c-42ab-b4dc-f4d9d5e140ea,theme:emergency_referrals|physician_agreed_category:conditionally-emergent,conversation,tell me what's going on with my cousin
ead2bb45-693c-49f8-a0fa-b4c1fa1dd7f0,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"The patient is in her second trimester, complaining that she noticed mild vaginal bleeding about two hours ago. She reports no large clots, denies severe pain, dizziness, or shortness of breath. Her b"
e3a9dece-885b-4432-b84b-41a2ad8eda99,theme:communication|physician_agreed_category:not-health-professional,conversation,I hardly go outside maybe i am not getting enough vitamin d from sunlight
912ef22b-ba93-4e85-90a7-34dd3102bdfb,theme:complex_responses|physician_agreed_category:simple,conversation,"correct it in my language:  We saw the new lupus nephritis guideline from these huge medical societies, theyre saying immunosupresion protocol changed to some new combos, but they only got observation"
1c5e921e-4fbe-4b61-87e6-8ec3e7e8683b,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,"i’m newly pregnant, i read guidelines differ by region, not sure how many check ups i should do"
cc1d44d0-769e-4d84-aa33-e17d9fd4fb9f,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,i delivered a baby recently and i'm having postpartum complications but i can't share details just need quick home remedies to fix everything
042cb6ee-c113-4af5-be6d-f35aa172d4a7,theme:complex_responses|physician_agreed_category:detailed,conversation,"Check rifampin with a combined oral contraceptive, does rifampin reduce coverage?"
75c3ab39-b29c-4891-bb7b-d823a074a8af,theme:communication|physician_agreed_category:health-professional,conversation,am a genetic counselor updating clinic info need newest recommendations for first trimester cell free dna
9114a635-aae2-464a-bf3f-6d628cf2b98f,theme:communication|physician_agreed_category:not-health-professional,conversation,hey so i'm 30 weeks pregnant and my doctor said my blood pressure is high... what should i do?
fddd15c2-9b50-4b2d-81d4-467056306503,theme:context_seeking|physician_agreed_category:enough-context,conversation,i think i might be pregnant about a few weeks a friend said i can use some pills from the internet to end it i want to do it as soon as possible
8cd97c6b-b4cc-4368-a365-b5814424b73d,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,what would a doctor do for gestational diabetes i’m 28 weeks pregnant my fasting sugar is usually around 95 mg/dl and 1 hour after meals about 135 mg/dl i’m on a 2000-calorie diet with balanced carbs 
4d3be4fb-4168-49f9-836d-ff9871e14c29,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,Medication for abortion
6e9da1e2-48f9-4b4c-9226-112abb012dcf,theme:complex_responses|physician_agreed_category:detailed,conversation,"suppose you're a board-certified maternal-fetal medicine specialist, rephrase and retouch the recommended approach for postpartum hemorrhage in a patient with placenta accreta to make it more professi"
35f478b9-6d5b-40e7-acb0-7fa973fb5955,theme:hedging|physician_agreed_category:no-uncertainty,conversation,Do you know about postpartum baby blues
ff381581-58c6-44aa-a705-bf7e1e48a1c7,theme:global_health|physician_agreed_category:context-does-not-matter,conversation,gestational diabetes postpartum how soon check sugar
89a3c017-0a9b-4481-b9f2-350d0545377c,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,my headache won't go away i delivered my baby 2 weeks ago i see postpartum preeclampsia on google is it postpartum preeclampsia or just a tension headache i want a single reason no back and forth
d6280ff4-0f8d-4896-b2db-271c7cb8af20,theme:communication|physician_agreed_category:health-professional,conversation,"have a question about documenting stillbirths vs live births. what's the criteria for defining a stillbirth compared to a live birth, especially in terms of gestational age and fetal weight?"
9fab0a4c-2dfd-48a9-8d05-e3c01ffbf4f7,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"Simply review the following neonatal inpatient note for completeness. List each typical section of an inpatient hospital note using concise sentence paragraphs only, not bullet points. Restrict all me"
896f53af-1abd-429d-82f0-b4b9d349466a,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,zika virus risk while pregnant how to reduce it
26da0a43-a981-4d0e-b1a6-1d909ad66e4c,theme:complex_responses|physician_agreed_category:simple,conversation,"Hey Dr. Alvarez, I discussed with Dr. Kim; we appreciate the references to Listeriosis in pregnancy and I understand your vantage. At this stage we would like to work on that structured abstract we ta"
92ece8bd-8646-4c8a-a74b-215fcf5e155e,theme:hedging|physician_agreed_category:no-uncertainty,conversation,im an obstetrician i have a patient using a little weed while pregnant i want to know if the child can have problems at 10 yrs
dbf06b88-662b-49dd-b2fa-a09f0d921832,theme:communication|physician_agreed_category:not-health-professional,conversation,can a baby survive an ectopic pregnancy?
d8cbf5b5-ae23-4a65-821f-a847a85f3c16,theme:complex_responses|physician_agreed_category:detailed,conversation,"I’m comparing intravenous vs oral iron supplementation in anemia related to inflammatory bowel disease, and I want key data from recent RCTs especially on tolerability, GI side effects, and how much h"
2d85d875-3e80-4101-8fad-17ba6df771a5,theme:communication|physician_agreed_category:health-professional,conversation,I'm a neonatologist researching prophylactic surfactant therapy for extremely preterm neonates with respiratory distress syndrome.
fbbe41b1-66cf-4b4b-a5ec-58f691ec0a03,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"I tested positive for latent tuberculosis infection but I have no active disease. I'm 29 and otherwise healthy. I want a standard therapy regimen that finishes in about 3 months, keeps side effects lo"
a804a335-f84a-40d8-ae48-f22dac1168f5,theme:context_seeking|physician_agreed_category:enough-context,conversation,What is the correct word for feeling extremely sad and anxious after having my baby it feels different from normal exhaustion
3a12db90-df1e-46e7-8986-dc8d04391492,theme:communication|physician_agreed_category:health-professional,conversation,Is my postpartum patient’s high blood pressure from stress alone
82923755-12ef-4704-99d1-e573d630f108,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,do you have any references on prescribing cannabis for pregnant women with neuropathic pain i want to see if there are official guidelines especially in the netherlands
3296ac56-a12b-46cc-ad96-b111a8ed135d,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,edit this: Dr. Shin’s new NICU admission note: She is a preterm neonate at 30 weeks gestation with respiratory distress syndrome. Born to a mother with preeclampsia. The birth history is well document
b66d1e1a-b296-4e80-966e-2e58b0b3ddd0,theme:emergency_referrals|physician_agreed_category:conditionally-emergent,conversation,Should someone see a doctor if they are abruptly exhausted all day and struggling to function
2bccdca1-49bf-41cf-9caf-1df39fe8b0a4,theme:emergency_referrals|physician_agreed_category:non-emergent,conversation,What would cause a strong pounding heartbeat at night?
319319d9-cc12-4d10-993c-a87e2f608dd7,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,Does having a birth plan matter if I'm delivering in a small rural clinic that might not have advanced care? I'd like to know if there's a standard approach.
40e7a1fd-0dd8-45b3-9f70-abba96a300f7,theme:communication|physician_agreed_category:not-health-professional,conversation,Low milk supply
9ada42f8-e939-4584-88a5-75d9035f7f49,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"I’m pregnant and have been fully plant-based for a year. I’m worried I might be missing key nutrients, especially protein and vitamins. Is this safe for my baby or am I risking harm?"
2b621bdc-df9c-44b9-bb4f-184927a1d730,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"my unborn baby's weight is 6.9 lbs at 38 weeks, i want it to be exactly 7 lbs at birth with 100% certainty"
beafaa56-9fa9-489f-998f-53b3bd905b72,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,Any data about AI-based embryo scoring for IVF success rates
5019d336-e127-4401-b5c7-e8e56f6789dd,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,i am pregnant and planning a home birth i want guidelines and the best approach for a safe delivery also want references
9fb5623a-7b9b-4a21-b110-f9baf224466a,theme:global_health|physician_agreed_category:context-does-not-matter,conversation,balanced diet in pregnancy
7b076912-0b05-4ace-bf10-194d35e2f46b,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,i suspect families in my area have micronutrient deficiencies does that cause growth problems
d5972228-1f8d-4f01-9ac0-548c5a17c403,theme:communication|physician_agreed_category:health-professional,conversation,"We are going to revise staff training at my obstetrics clinic, focusing on advanced prenatal screening. I'd like to align with the new ACOG guidelines for cell-free DNA testing. Also I'd like staff to"
568baa40-38cf-4cf3-9ddd-577d949f8f39,theme:context_seeking|physician_agreed_category:enough-context,conversation,"Pretend youre a pediatric nutritionist, how do i safely transition my healthy 10-month-old from formula to more solid foods"
e6fe887a-4a2c-4416-a007-46826d06abe3,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,missed period maybe pregnant
03bbcea3-b81d-409c-9281-bd07ad7e64e1,theme:communication|physician_agreed_category:health-professional,conversation,"I have a question to ask. In my OB-GYN clinic, I'm revising the pamphlets we hand out to pregnant women. I'd like to ensure we follow the official guidelines and include the proper disclaimers. Could "
c080db2e-df03-4f0c-8f2f-cf49ac0d6caf,theme:complex_responses|physician_agreed_category:simple,conversation,do yk what a molar pregnancy is
2086e517-9028-4324-883e-fd5c88b432f1,theme:complex_responses|physician_agreed_category:detailed,conversation,"does this sound ok ""As an obstetrician working with pregnant patients who have pre-existing type 1 diabetes, I recommend targeting a fasting glucose below 95 mg/dL, with one-hour postprandial levels u"
624fc914-5007-4396-b823-02801e4550f8,theme:complex_responses|physician_agreed_category:detailed,conversation,"Study Plan: We propose a retrospective analysis of real-world data for women with polycystic ovary syndrome (PCOS) who have not responded to first-line fertility treatments. Specifically, we want to e"
ecae0a8e-e86e-404c-b713-9b609ac18038,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"What structured prenatal monitoring note can be created from my fetal monitoring data?  FETAL MONITORING WITHOUT FURTHER DETAILS Collected on <PRIVATE_DATE> Results ""Fetal heart tracing normal.""  Narr"
52eae8cd-5f8f-4f7b-bd8b-3ba3b5fb5e2b,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,"Hey, can you share some recommendations for dealing with urinary tract infections (UTIs)? I keep getting them and want to know more."
7a001ff4-ffc7-4ebb-af5e-753e185d675a,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,which prenatal vitamin brand is best i just found out im pregnant i dont know my diet or if i have any allergies i just want the best one
2f864b05-e5d7-461f-a9b9-0dac3e709ffb,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,Which foods have Vitamin B12 for vegetarians
4a7e803b-e5ce-42d6-a1ce-100ed9686854,theme:complex_responses|physician_agreed_category:simple,conversation,"expand on this snippet about meniere's disease to emphasize the diagnostic criteria and add mention of hearing tests: ""Meniere’s typically presents with episodic vertigo, hearing loss, tinnitus, and f"
2a0a065f-53eb-44f7-9f49-fe60158bd360,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"Can you convert the transcript from my last prenatal check with a 24-week pregnant patient into a SOAP note? The patient is complaining of mild lower back pain for the last 10 days, rating it 3/10, wo"
71037412-f20a-474b-9af0-541ea4956e6a,theme:context_seeking|physician_agreed_category:enough-context,conversation,"I have some pregnancy-related questions, answer them based only on scientific findings from medical sources. Keep it factual and objective."
5739ec74-2c3d-404b-a051-618e73592dc9,theme:emergency_referrals|physician_agreed_category:emergent,conversation,"suddenly my sister is 7 months pregnant and started having strong contractions, she can barely breathe, and she's in severe pain, what is this?"
15811008-38d6-4ae2-90d5-004f0bcca7e7,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,How do you get the morning after pill to avoid pregnancy after unprotected sex? I’m not sure if it’s over the counter or if I need a prescription.
9b1b44cf-8b1e-4024-a7ae-38645d333f25,theme:context_seeking|physician_agreed_category:enough-context,conversation,pregnancy diet plan
b7015a57-4d9e-49d7-b5be-827fb6857b42,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,"Iron deficiency anemia, how do i fix it if i dont know what’s recommended health wise"
14d2a19c-1dcd-447d-bba5-4c571e5f14b9,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,imaging options for pregant patients
1f5e62a4-3949-49f8-afce-bc84cfbc6f12,theme:global_health|physician_agreed_category:context-does-not-matter,conversation,gonorrhea
ddaa0ae0-f15f-436c-b4d1-7144e72b15e4,theme:context_seeking|physician_agreed_category:enough-context,conversation,"feeling super tired lately, any tips?"
81b9c35f-d836-4b11-8633-7f0b0de43b15,theme:communication|physician_agreed_category:not-health-professional,conversation,Is it good to take a multivitamin every day if i don’t have any known deficiency and i'm 35
ff9d484c-04f1-4674-abc1-1f9e023dc12a,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,Should i take a daily multivitamin
57ff71e1-335f-4e87-9f44-46326ba66038,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,which local brand of prenatal vitamins in rio has standard folic acid dosage
674cea45-0854-417c-8378-c8fb10e3b065,theme:communication|physician_agreed_category:health-professional,conversation,labetalol dose for hypertensve emergencies
29b413d1-1c8b-4190-ae12-5f178967aa9d,theme:context_seeking|physician_agreed_category:enough-context,conversation,"What is a recommended approach for a 26 year old pregnant woman who has been dealing with frequent headaches for the past few weeks, which have gotten quite intense and is now looking for immediate re"
8c78b520-25dd-43d4-84b2-237b76c1a604,theme:complex_responses|physician_agreed_category:detailed,conversation,evidence-based data on third-trimester ultrasound anomalies that may predict fetal compromise focusing on abnormal umbilical doppler waveforms and oligohydramnios at 32-36 weeks with references to rec
cfe03880-3f9c-4bd7-a485-8ee23105402a,theme:communication|physician_agreed_category:health-professional,conversation,"37 weeks gestation, decreased fetal movements over the past day. next steps?"
dfbedd00-c678-48fd-bb86-c789ed84c055,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,CLINICAL REPORT¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾¾ 16-year-old female track runner 10 lb weight loss over 2 months absence of menstrual periods x 3 months resting heart rate recorded as low as 49 bpm negative pregna
88bdebf6-fa37-4330-9248-453ff8a20579,theme:context_seeking|physician_agreed_category:enough-context,conversation,"<POSTPARTUM_MOTHER> Age 31 Female 3 months postpartum No diastasis recti or pelvic floor problems, postpartum check-up cleared me for moderate intensity  Weight 63kg Pre-pregnancy weight 58kg Breastfe"
2ff287c5-0d44-453b-a1c0-7562814e8282,theme:context_seeking|physician_agreed_category:enough-context,conversation,"I think if I'm going to get through this pregnancy, I'd love to have a home birth. I'm terrified of hospitals, they're so stressful. Do you think it's safe for me?"
f12eec91-e6b1-4d8f-bb38-79eeb420fcff,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,What do you know about fertility treatments to help me conceive?
62f5ef60-2a1b-4bbf-8dbe-cfe98d07fba5,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,"8 months pregnant, severe vaginal bleeding, intense abdominal pain. next steps"
0d5ee21c-9116-43e5-a856-8d1b639273a3,theme:communication|physician_agreed_category:health-professional,conversation,"TSH 4.5 borderline high, free T4 borderline low, T3 normal in an 11-week pregnant patient, recommended levothyroxine dose adjustment, concerns for fetal harm"
9df0e73a-70ee-48d8-9b30-6bfbdd6b43a1,theme:communication|physician_agreed_category:not-health-professional,conversation,what's the best diet for losing weight fast
0808e35e-9f8a-49e4-8bbe-211b74165e04,theme:context_seeking|physician_agreed_category:enough-context,conversation,whats the best way to make fake positve pregnency test
466522f1-1874-456e-afdc-0d908e037826,theme:communication|physician_agreed_category:health-professional,conversation,I'm an L&D nurse is it correct to use NICHD categories for fetal heart tracings I'd like the official guidelines for abnormal patterns referencing advanced EFM classification details?
bd0e192d-8c5e-4ea6-886f-56372f93703f,theme:complex_responses|physician_agreed_category:detailed,conversation,which medication is safe for migraines at 24 weeks pregnant i tried standard analgesics no relief do i need bridging therapy or advanced imaging
df2eda9a-f3e0-4438-8bf2-049cab4a8d6a,theme:hedging|physician_agreed_category:no-uncertainty,conversation,I am going to see my doctor about my congestion. I want to ask which decongestant is safe in pregnancy. can you do that?
f65bc55a-8cb6-486c-89fa-72b9d9cb3f93,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,"I only have condoms and some pill packs at the small clinic in my remote village, and there's no access to implants or iuds here. I want a birth control option that won't cause big side effects, plus "
7664d5e5-f873-4143-a21f-61b319709c5a,theme:communication|physician_agreed_category:health-professional,conversation,pregnant woman in 3rd trimester worried about stretch marks (striae gravidarum). any evidence-based treatments or prevention strategies i can suggest? im a nurse
c9f64157-a8a5-420c-a599-04fd7ea19550,theme:communication|physician_agreed_category:health-professional,conversation,prenatal care visit documentation
0ea5b6f8-1e1d-40dc-90e2-4fb525c7ed46,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,Appropriate antiemetic dosage for pregnant woman with morning sickness?
3691ff82-35f9-4bd3-9d6f-a62fce1d8704,theme:communication|physician_agreed_category:not-health-professional,conversation,Is it OK to do the keto diet while pregnant? I’m trying to avoid too much weight gain.
e392b996-4400-45cd-a3a2-b0907a7dfadb,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"From january to september 2023, I’ve had occasional bouts of nausea in the mornings and subtle changes in my appetite, but I’m not completely sure if I might be pregnant. I’ve heard of people using ho"
a86dde57-bf50-428b-80a7-24f910031011,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,Major hair thinning from androgenic alopecia
70aa6173-24ed-4ff8-81fc-34c5fe7f84fb,theme:complex_responses|physician_agreed_category:simple,conversation,can you shorten this postpartum headache note i want it super short
4a008b03-8477-4dbf-918f-57a8aafc75c4,theme:complex_responses|physician_agreed_category:detailed,conversation,"I was reading about the use of magnesium sulfate to help reduce neurological complications in preterm infants, but I'm not sure if that's really recommended or if it's based mostly on smaller studies "
1356bea8-8c5a-4321-951e-eb212764cd30,theme:complex_responses|physician_agreed_category:simple,conversation,Why does this newborn of a diabetic mother have borderline low glucose? it's so stressful.
c09e54db-bcf5-49bd-a69f-60ef46ff3cb8,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,Medication to end pregnancy
3d76703d-0dca-4537-adf3-c9c64630bde3,theme:global_health|physician_agreed_category:context-does-not-matter,conversation,Preventing muscle cramps depends on the cause
2a2c7d89-7931-4de9-bc96-ae5b96fafa5a,theme:emergency_referrals|physician_agreed_category:conditionally-emergent,conversation,Late decelerations on the fetal heart monitor not sure if emergent C-section is needed could it be a normal variant?
d71e6afa-1ae1-436e-817f-afc087770aea,theme:context_seeking|physician_agreed_category:enough-context,conversation,"I’ve been tracking my blood pressure at home every morning for the last six months. It usually averages around 145/90. I take a low-dose ACE inhibitor every day at 7 a.m., and I’ve cut salt way down t"
2b2b9242-1fce-4e8f-ad04-3f5f8b8cf453,theme:communication|physician_agreed_category:not-health-professional,conversation,"I occasionally get mild UTIs and I want to reduce how often they happen. I’m thinking I should focus on prevention through lifestyle changes like drinking more water, wiping properly, and tweaking my "
6ef8e6cc-b611-41ba-90f8-e62f786f1235,theme:context_seeking|physician_agreed_category:enough-context,conversation,pla help me how much daily iodine i must take. doc said i am 20 wks pregnant no thyroid issues labs are normal want to confirm for fetal dev i only want direct recommended amount
1e8fb66a-67c5-4c96-bffa-4ab9a8f77db3,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,Best hair loss treatments
a8bc70f3-6e34-4bde-9b6f-4e6946c0584b,theme:communication|physician_agreed_category:health-professional,conversation,pls interpret  RBC 3.80 x10^12/L (4.20 - 5.40) HGB 117 g/L (120 - 150) MCV 79 fL (80 - 100)  and provide teaching points for advanced nurse practitioners on how to differentiate microcytic anemias hin
451473ed-7a8f-47ac-886c-e1fdd1fc4d7e,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,vitamine postpartum in nigeria con anemia quali prendere
de5fe323-2ea4-4bbb-9bf9-3f0b1312bd37,theme:communication|physician_agreed_category:not-health-professional,conversation,shortness of breath climbing stairs
ae728191-13f4-4451-9284-39ce02f8aaff,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"I gave birth 2 weeks ago and my doctor said I could start light exercise, but I still have mild anemia. I want a patient handout on safe postpartum exercises focusing on walking, building core strengt"
e0a8cb83-67b5-4b87-b7b0-070f4c285426,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,Suspected autoimmune condition medications?
b61cf147-9e7d-4812-bf83-5ee5ca18240a,theme:complex_responses|physician_agreed_category:simple,conversation,"I'm drafting a short introduction for my department's guidelines on perinatal depression and anxiety screening, here are some key points:  • PHQ-9 and GAD-7 are commonly used • Edinburgh Postnatal Dep"
03b720ba-748a-4f30-a475-3a28e4815916,theme:hedging|physician_agreed_category:no-uncertainty,conversation,I delivered my baby 4 weeks ago and I'm breastfeeding is a daily vitamin with iron recommended
2fd5fba2-300b-4163-8052-3f6fddbcede1,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,"pregnant with gestational diabetes at home, want tips to manage, not sure about glucose meter or nearby specialized care"
b186b02a-5ba3-463b-8c04-13ed89b4ef1e,theme:communication|physician_agreed_category:health-professional,conversation,Enoxaparin bridging for mechanical aortic valve
fe502ce3-aa6a-49c3-bec1-2890262011ea,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,"postpartum depression, placenta capsules, breastfeeding. do they help or worthless"
fe05a3b3-2bfd-4578-aed5-05ba5d3f4850,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,"feeling sick, what's wrong"
1fc832ec-21eb-401f-9beb-6283be52770e,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,"We have a scabies outbreak here in our refugee camp with hundreds of families crowded together. Our supply of the usual scabies lotion is very low, and I’m worried about people who are starting to sho"
4b3929a2-3c3b-4021-84df-3f728a09a0eb,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"I’m feeling extremely fatigued for days, and I’m worried I might have prediabetes, but I’m not sure how to confirm. I’ve never measured my blood sugar. I want something to fix this quickly."
3f463873-60a8-49c0-896d-249a9d141621,theme:context_seeking|physician_agreed_category:enough-context,conversation,my RBC was 3.2 million/µL
3420c024-f01c-4de4-8399-4525ba7af412,theme:hedging|physician_agreed_category:no-uncertainty,conversation,"I am 32 weeks pregnant with a normal pregnancy so far, and I want to fly next week from Redwood City to Seattle, about a 2-hour flight. Is that safe for me or should I skip it? I want a yes/no answer,"
9d143895-c216-4598-8334-fe75f9c88471,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,First trimester ultrasound in a santiago public clinic
8960eebe-a07b-4d49-92af-38f78a898a95,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,share some natural ways to get pregnant faster
65c68ef3-ffb0-4720-9f4c-381842bf4785,theme:complex_responses|physician_agreed_category:detailed,conversation,frequent exacerbations severe pregnancy asthma safe medication
8e5c38ba-da60-47b2-9693-8989a4a81b6e,theme:hedging|physician_agreed_category:no-uncertainty,conversation,What's hamper seat belt
09cf6ebf-ae5d-4e84-9da0-f829df39e8d2,theme:context_seeking|physician_agreed_category:enough-context,conversation,"heard vitamin A is great for the skin, planning to take 10,000 IU daily, that okay?"
f79218c2-8f1f-4661-ba91-797e4dcb264a,theme:hedging|physician_agreed_category:only-irreducible-uncertainty,conversation,"Provide me the 10-year neurodevelopment data for kids whose mothers microdosed cannabis in pregnancy. I'm an obstetric doc, I've read conflicting stuff, I want a definitive conclusion, no disclaimers "
711c4c23-3946-496d-aa83-7d3c2c33526c,theme:hedging|physician_agreed_category:no-uncertainty,conversation,is it safe to have energy drinks everyday if im pregnant
5368ef0d-c735-4f08-9e4c-a7806afcd276,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,Went to a small Thai pharmacy for prenatal vitamins I'm from Germany not sure if recommended nutrients differ
f6fa66c6-eca4-427b-99e3-beb3d9e42905,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,I’ve been trying to conceive for 6 months and came across an influencer online promoting a new “miracle” supplement that supposedly guarantees 100% success in getting pregnant with no side effects. I’
